,timestamp,location,price,last4ccnum,time,date
0,2014-01-06 07:28:00,Brew've Been Served,11.34,4795,07:28:00,2014-01-06
1,2014-01-06 07:34:00,Hallowed Grounds,52.22,7108,07:34:00,2014-01-06
2,2014-01-06 07:35:00,Brew've Been Served,8.33,6816,07:35:00,2014-01-06
3,2014-01-06 07:36:00,Hallowed Grounds,16.72,9617,07:36:00,2014-01-06
4,2014-01-06 07:37:00,Brew've Been Served,4.24,7384,07:37:00,2014-01-06
5,2014-01-06 07:38:00,Brew've Been Served,4.17,5368,07:38:00,2014-01-06
6,2014-01-06 07:42:00,Coffee Cameleon,28.73,7253,07:42:00,2014-01-06
7,2014-01-06 07:43:00,Brew've Been Served,9.6,4948,07:43:00,2014-01-06
8,2014-01-06 07:43:00,Brew've Been Served,16.9,9683,07:43:00,2014-01-06
9,2014-01-06 07:47:00,Hallowed Grounds,16.53,8129,07:47:00,2014-01-06
10,2014-01-06 07:48:00,Hallowed Grounds,10.66,3492,07:48:00,2014-01-06
11,2014-01-06 07:49:00,Coffee Cameleon,8.39,5921,07:49:00,2014-01-06
12,2014-01-06 07:52:00,Brew've Been Served,32.83,9405,07:52:00,2014-01-06
13,2014-01-06 07:54:00,Hallowed Grounds,16.88,7889,07:54:00,2014-01-06
14,2014-01-06 07:54:00,Coffee Cameleon,11.86,2142,07:54:00,2014-01-06
15,2014-01-06 07:54:00,Hallowed Grounds,32.93,2681,07:54:00,2014-01-06
16,2014-01-06 07:55:00,Hallowed Grounds,8.05,9551,07:55:00,2014-01-06
17,2014-01-06 07:55:00,Brew've Been Served,3.67,3484,07:55:00,2014-01-06
18,2014-01-06 07:59:00,Brew've Been Served,8.88,7819,07:59:00,2014-01-06
19,2014-01-06 08:00:00,Brew've Been Served,4.27,5407,08:00:00,2014-01-06
20,2014-01-06 08:00:00,Hallowed Grounds,9.69,6691,08:00:00,2014-01-06
21,2014-01-06 08:01:00,Hallowed Grounds,10.07,1874,08:01:00,2014-01-06
22,2014-01-06 08:06:00,Brew've Been Served,18.24,3853,08:06:00,2014-01-06
23,2014-01-06 08:06:00,Brew've Been Served,15.58,4434,08:06:00,2014-01-06
24,2014-01-06 08:07:00,Brew've Been Served,5.66,6901,08:07:00,2014-01-06
25,2014-01-06 08:14:00,Coffee Cameleon,3.2,2418,08:14:00,2014-01-06
26,2014-01-06 08:16:00,Brew've Been Served,14.97,1286,08:16:00,2014-01-06
27,2014-01-06 08:16:00,Brew've Been Served,11.2,8411,08:16:00,2014-01-06
28,2014-01-06 08:17:00,Brew've Been Served,15.39,8202,08:17:00,2014-01-06
29,2014-01-06 08:23:00,Abila Airport,4540.08,9220,08:23:00,2014-01-06
30,2014-01-06 09:06:00,Kronos Pipe and Irrigation,242.21,9220,09:06:00,2014-01-06
31,2014-01-06 10:02:00,Nationwide Refinery,761.64,9735,10:02:00,2014-01-06
32,2014-01-06 10:18:00,Maximum Iron and Steel,2859.51,9220,10:18:00,2014-01-06
33,2014-01-06 11:33:00,Stewart and Sons Fabrication,2144.62,9735,11:33:00,2014-01-06
34,2014-01-06 11:57:00,Carlyle Chemical Inc.,3959.66,9220,11:57:00,2014-01-06
35,2014-01-06 12:00:00,Coffee Shack,51.51,7117,12:00:00,2014-01-06
36,2014-01-06 12:00:00,Bean There Done That,10.28,1415,12:00:00,2014-01-06
37,2014-01-06 12:00:00,Bean There Done That,16.09,9635,12:00:00,2014-01-06
38,2014-01-06 12:00:00,Brewed Awakenings,5.72,7688,12:00:00,2014-01-06
39,2014-01-06 12:00:00,Jack's Magical Beans,11.03,6899,12:00:00,2014-01-06
40,2014-01-06 12:00:00,Brewed Awakenings,16.89,2540,12:00:00,2014-01-06
41,2014-01-06 12:00:00,Bean There Done That,8.54,1877,12:00:00,2014-01-06
42,2014-01-06 12:00:00,Brewed Awakenings,4.35,8332,12:00:00,2014-01-06
43,2014-01-06 12:00:00,Bean There Done That,5.24,1321,12:00:00,2014-01-06
44,2014-01-06 12:00:00,Bean There Done That,4.27,6895,12:00:00,2014-01-06
45,2014-01-06 12:00:00,Jack's Magical Beans,18.59,9241,12:00:00,2014-01-06
46,2014-01-06 12:00:00,Jack's Magical Beans,27.84,8156,12:00:00,2014-01-06
47,2014-01-06 12:00:00,Jack's Magical Beans,18.1,2463,12:00:00,2014-01-06
48,2014-01-06 12:16:00,Abila Airport,1873.79,8642,12:16:00,2014-01-06
49,2014-01-06 12:56:00,Katerina's Cafe,13.68,8332,12:56:00,2014-01-06
50,2014-01-06 12:57:00,Hippokampos,9.16,8156,12:57:00,2014-01-06
51,2014-01-06 13:18:00,Abila Zacharo,106.93,2418,13:18:00,2014-01-06
52,2014-01-06 13:19:00,Gelatogalore,12.74,7253,13:19:00,2014-01-06
53,2014-01-06 13:19:00,Kalami Kafenion,70.1,3484,13:19:00,2014-01-06
54,2014-01-06 13:20:00,Hippokampos,34.03,6691,13:20:00,2014-01-06
55,2014-01-06 13:21:00,Hippokampos,28.23,9551,13:21:00,2014-01-06
56,2014-01-06 13:22:00,Ouzeri Elian,38.9,2540,13:22:00,2014-01-06
57,2014-01-06 13:23:00,Hippokampos,13.26,4795,13:23:00,2014-01-06
